[2025-02-08 14:49:02,047] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.1845, 'grad_norm': 11.626248359680176, 'learning_rate': 7.75073206442167e-06, 'epoch': 0.3}
{'loss': 1.0833, 'grad_norm': 10.260421752929688, 'learning_rate': 7.732430453879943e-06, 'epoch': 0.3}
{'loss': 1.1207, 'grad_norm': 11.012534141540527, 'learning_rate': 7.714128843338214e-06, 'epoch': 0.31}
{'loss': 1.1364, 'grad_norm': 9.802508354187012, 'learning_rate': 7.695827232796486e-06, 'epoch': 0.31}
{'loss': 1.1569, 'grad_norm': 10.85610580444336, 'learning_rate': 7.67752562225476e-06, 'epoch': 0.31}
{'loss': 1.1183, 'grad_norm': 11.051115036010742, 'learning_rate': 7.659224011713031e-06, 'epoch': 0.31}
{'loss': 1.1592, 'grad_norm': 10.930325508117676, 'learning_rate': 7.640922401171304e-06, 'epoch': 0.31}
{'loss': 1.1096, 'grad_norm': 12.435965538024902, 'learning_rate': 7.622620790629576e-06, 'epoch': 0.31}
{'loss': 1.0569, 'grad_norm': 10.710412979125977, 'learning_rate': 7.604319180087848e-06, 'epoch': 0.32}
{'loss': 1.1102, 'grad_norm': 10.146685600280762, 'learning_rate': 7.58601756954612e-06, 'epoch': 0.32}
{'loss': 1.0328, 'grad_norm': 10.123456001281738, 'learning_rate': 7.567715959004392e-06, 'epoch': 0.32}
{'loss': 1.0979, 'grad_norm': 10.846165657043457, 'learning_rate': 7.5494143484626655e-06, 'epoch': 0.32}
{'loss': 1.09, 'grad_norm': 10.744808197021484, 'learning_rate': 7.531112737920938e-06, 'epoch': 0.32}
{'loss': 1.1729, 'grad_norm': 10.976971626281738, 'learning_rate': 7.51281112737921e-06, 'epoch': 0.32}
{'loss': 1.0434, 'grad_norm': 10.839597702026367, 'learning_rate': 7.494509516837483e-06, 'epoch': 0.33}
{'loss': 1.1249, 'grad_norm': 12.161173820495605, 'learning_rate': 7.476207906295755e-06, 'epoch': 0.33}
{'loss': 1.1034, 'grad_norm': 10.495040893554688, 'learning_rate': 7.457906295754027e-06, 'epoch': 0.33}
{'loss': 1.0945, 'grad_norm': 9.911284446716309, 'learning_rate': 7.439604685212299e-06, 'epoch': 0.33}
{'loss': 1.1715, 'grad_norm': 9.793286323547363, 'learning_rate': 7.421303074670572e-06, 'epoch': 0.33}
